x,y,z,time
-0.004131086561761013,-0.008433798838055145,-0.010575485792382601,0.0
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,0.9815354347229004
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.0018649101257324
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.0168671607971191
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.0311708450317383
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.0576438903808594
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.0722055435180664
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.0913035869598389
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.109208583831787
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.12770414352417
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.1574225425720215
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.1716034412384033
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.1843900680541992
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.2006213665008545
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.2151236534118652
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.233497142791748
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.2476539611816406
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.2665863037109375
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.28529691696167
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.3020355701446533
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.3162496089935303
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.3413636684417725
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.3567862510681152
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.3718717098236084
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.3853437900543213
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.3991081714630127
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.4271280765533447
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.4421014785766602
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.4767482280731201
-0.004389062041653661,-0.008621614772973185,-0.010495293332941686,1.4925880432128906
-0.004405940218572672,-0.008640660817606338,-0.01058110456484218,1.5068104267120361
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.5220706462860107
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.558842658996582
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.57763671875
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.5937604904174805
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.6126694679260254
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.6263482570648193
-0.0043900976825587395,-0.008414679091683752,-0.010642712618342444,1.644209384918213
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.6562330722808838
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.6689777374267578
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.7013144493103027
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.7150294780731201
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.7298812866210938
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.745964765548706
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.7599194049835205
-0.004393316005561211,-0.008423821434316386,-0.010504842800494648,1.774791955947876
-0.004393316005561211,-0.008423821434316386,-0.010504842800494648,1.789205551147461
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.803694248199463
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.8181936740875244
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.833195447921753
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.8472726345062256
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.8685472011566162
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.8849523067474365
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.8989217281341553
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.916015625
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.931128978729248
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.9443023204803467
-0.00440713420229663,-0.00843365611952912,-0.010728639986333178,1.960613489151001
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,1.9882338047027588
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,2.0052082538604736
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,2.0198888778686523
-0.004410172272090321,-0.008442875960143703,-0.010590741136455436,2.0351786613464355
